"","de","a","ciudad","tipo"
"199",2019-05-13 13:52:00,2019-05-13 13:56:00,"Europe/Madrid","Walking"
"200",2019-05-14 07:21:00,2019-05-14 07:35:00,"Europe/Madrid","Walking"
"201",2019-05-15 07:48:00,2019-05-15 08:01:00,"Europe/Amsterdam","Running"
"202",2019-05-15 08:02:00,2019-05-15 08:15:00,"Europe/Amsterdam","Walking"
"203",2019-05-17 17:21:00,2019-05-17 17:32:00,"Europe/Madrid","Walking"
"204",2019-05-18 10:42:00,2019-05-18 10:47:00,"Europe/Amsterdam","Running"
"205",2019-05-18 10:48:00,2019-05-18 11:00:00,"Europe/Amsterdam","Walking"
"206",2019-05-19 07:34:00,2019-05-19 07:45:00,"Europe/Amsterdam","Running"
"207",2019-05-19 07:46:00,2019-05-19 08:05:00,"Europe/Amsterdam","Walking"
"208",2019-05-20 07:43:00,2019-05-20 08:02:00,"Europe/Amsterdam","Running"
"209",2019-05-21 08:00:00,2019-05-21 08:08:00,"Europe/Amsterdam","Walking"
"210",2019-05-22 07:20:00,2019-05-22 07:43:00,"Europe/Amsterdam","Walking"
"211",2019-05-22 13:40:00,2019-05-22 14:03:00,"Europe/Amsterdam","Walking"
"212",2019-05-23 08:18:00,2019-05-23 08:44:00,"Europe/Amsterdam","Walking"
"213",2019-05-23 13:48:00,2019-05-23 14:15:00,"Europe/Amsterdam","Walking"
"214",2019-05-24 08:03:00,2019-05-24 08:13:00,"Europe/Amsterdam","Running"
"215",2019-05-24 22:15:00,2019-05-24 22:19:00,"Europe/Amsterdam","Walking"
"216",2019-05-26 08:33:00,2019-05-26 09:09:00,"Europe/Amsterdam","Walking"
"217",2019-06-07 08:01:00,2019-06-07 09:15:00,"Europe/Madrid","Other"
"218",2019-06-09 11:09:00,2019-06-09 11:54:00,"Europe/Madrid","Other"
"219",2019-06-09 12:24:00,2019-06-09 12:38:00,"Europe/Madrid","Walking"
"220",2019-06-09 16:50:00,2019-06-09 18:11:00,"Europe/Madrid","Other"
"221",2019-06-10 06:32:00,2019-06-10 06:43:00,"Europe/Madrid","Walking"
"222",2019-06-10 13:49:00,2019-06-10 14:02:00,"Europe/Madrid","Walking"
"223",2019-06-10 14:12:00,2019-06-10 14:24:00,"Europe/Madrid","Walking"
"224",2019-06-10 14:48:00,2019-06-10 15:04:00,"Europe/Madrid","Walking"
"225",2019-06-10 17:34:00,2019-06-10 17:49:00,"Europe/Madrid","Walking"
"226",2019-06-11 16:53:00,2019-06-11 16:57:00,"Europe/Madrid","Walking"
"227",2019-06-12 12:53:00,2019-06-12 13:03:00,"Europe/Madrid","Walking"
"228",2019-06-12 13:53:00,2019-06-12 14:00:00,"Europe/Madrid","Walking"
"229",2019-06-12 17:42:00,2019-06-12 18:01:00,"Europe/Madrid","Other"
"230",2019-06-17 16:46:00,2019-06-17 16:59:00,"Europe/Madrid","Walking"
"231",2019-06-18 13:07:00,2019-06-18 13:22:00,"Europe/Madrid","Walking"
"232",2019-06-19 18:05:00,2019-06-19 19:07:00,"Europe/Madrid","Tennis"
"233",2019-06-20 14:54:00,2019-06-20 15:00:00,"Europe/Madrid","Walking"
"234",2019-06-20 15:24:00,2019-06-20 15:29:00,"Europe/Madrid","Running"
"235",2019-06-20 16:45:00,2019-06-20 16:58:00,"Europe/Madrid","Walking"
"236",2019-06-20 18:12:00,2019-06-20 18:22:00,"Europe/Madrid","Running"
"237",2019-06-23 10:24:00,2019-06-23 11:13:00,"Europe/Madrid","Other"
"238",2019-06-24 13:15:00,2019-06-24 13:30:00,"Europe/Madrid","Swimming"
"239",2019-06-24 16:45:00,2019-06-24 17:15:00,"Europe/Madrid","Walking"
"240",2019-06-27 15:12:00,2019-06-27 15:20:00,"Europe/Madrid","Walking"
"241",2019-06-28 06:20:00,2019-06-28 06:30:00,"Europe/Madrid","Walking"
"242",2019-07-17 18:16:00,2019-07-17 18:24:00,"Europe/Amsterdam","Walking"
"243",2019-07-17 18:30:00,2019-07-17 18:44:00,"Europe/Amsterdam","Walking"
"244",2019-07-17 19:14:00,2019-07-17 19:27:00,"Europe/Amsterdam","Walking"
"245",2019-07-17 19:59:00,2019-07-17 20:21:00,"Europe/Amsterdam","Walking"
"246",2019-07-18 06:11:00,2019-07-18 06:15:00,"Europe/Amsterdam","Walking"
"247",2019-07-21 09:02:00,2019-07-21 09:19:00,"Europe/Amsterdam","Running"
"248",2019-07-23 08:38:00,2019-07-23 08:56:00,"Europe/Amsterdam","Running"
"249",2019-07-24 07:43:00,2019-07-24 07:55:00,"Europe/Amsterdam","Walking"
"250",2019-07-24 18:37:00,2019-07-24 18:55:00,"Europe/Amsterdam","Walking"
"251",2019-07-26 10:41:00,2019-07-26 10:53:00,"Europe/Amsterdam","Walking"
"252",2019-07-26 10:54:00,2019-07-26 11:01:00,"Europe/Amsterdam","Running"
"253",2019-07-26 12:00:00,2019-07-26 12:40:00,"Europe/Amsterdam","Cycling"
"254",2019-07-29 09:27:00,2019-07-29 09:37:00,"Europe/Amsterdam","Walking"
"255",2019-08-10 19:38:00,2019-08-10 19:55:00,"Europe/Madrid","Walking"
"256",2019-08-10 20:28:00,2019-08-10 20:45:00,"Europe/Madrid","Walking"
"257",2019-08-12 15:40:06,2019-08-12 15:58:14,"Europe/Madrid","Swimming"
"258",2019-08-13 16:13:16,2019-08-13 16:26:35,"Europe/Madrid","Swimming"
"259",2019-08-14 20:37:00,2019-08-14 20:55:00,"Europe/Amsterdam","Walking"
"260",2019-08-15 19:41:00,2019-08-15 19:58:00,"Europe/Amsterdam","Walking"
"261",2019-08-16 07:15:00,2019-08-16 07:19:00,"Europe/Amsterdam","Walking"
"262",2019-08-16 07:20:00,2019-08-16 07:25:00,"Europe/Amsterdam","Running"
"263",2019-08-19 10:24:00,2019-08-19 10:33:00,"Europe/Amsterdam","Walking"
"264",2019-08-19 13:52:00,2019-08-19 14:19:00,"Europe/Amsterdam","Walking"
"265",2019-08-20 19:43:00,2019-08-20 19:48:00,"Europe/Amsterdam","Walking"
"266",2019-08-21 14:16:00,2019-08-21 14:24:00,"Europe/Amsterdam","Walking"
"267",2019-08-21 15:02:00,2019-08-21 15:13:00,"Europe/Amsterdam","Walking"
"268",2019-08-22 09:21:00,2019-08-22 09:38:00,"Europe/Amsterdam","Walking"
"269",2019-08-22 14:25:00,2019-08-22 14:44:00,"Europe/Amsterdam","Walking"
"270",2019-08-23 19:29:00,2019-08-23 19:49:00,"Europe/Amsterdam","Walking"
"271",2019-08-26 09:22:00,2019-08-26 09:54:00,"Europe/Amsterdam","Walking"
"272",2019-08-26 13:15:00,2019-08-26 13:31:00,"Europe/Amsterdam","Walking"
"273",2019-08-27 08:11:00,2019-08-27 08:23:00,"Europe/Amsterdam","Running"
"274",2019-08-29 20:36:00,2019-08-29 21:06:00,"Europe/Amsterdam","Walking"
"275",2019-08-30 07:23:00,2019-08-30 07:27:00,"Europe/Amsterdam","Walking"
"276",2019-08-30 07:28:00,2019-08-30 07:43:00,"Europe/Amsterdam","Running"
"277",2019-08-30 08:52:00,2019-08-30 09:14:00,"Europe/Amsterdam","Walking"
"278",2019-08-30 13:16:00,2019-08-30 13:21:00,"Europe/Amsterdam","Walking"
"279",2019-08-30 13:27:00,2019-08-30 13:31:00,"Europe/Amsterdam","Walking"
"280",2019-08-30 13:45:00,2019-08-30 14:12:00,"Europe/Amsterdam","Walking"
"281",2019-09-01 09:09:00,2019-09-01 09:14:00,"Europe/Amsterdam","Walking"
"282",2019-09-01 09:15:00,2019-09-01 09:19:00,"Europe/Amsterdam","Running"
"283",2019-09-02 08:04:00,2019-09-02 08:23:00,"Europe/Amsterdam","Running"
"284",2019-09-03 09:22:00,2019-09-03 09:38:00,"Europe/Amsterdam","Walking"
"285",2019-09-03 14:06:00,2019-09-03 14:10:00,"Europe/Amsterdam","Walking"
"286",2019-09-04 18:14:00,2019-09-04 18:21:00,"Europe/Amsterdam","Walking"
"287",2019-09-16 10:50:00,2019-09-16 10:57:00,"Europe/Madrid","Walking"
"288",2019-09-16 17:41:00,2019-09-16 17:59:00,"Europe/Madrid","Walking"
"289",2019-09-16 18:59:00,2019-09-16 19:16:00,"Europe/Madrid","Walking"
"290",2019-09-17 08:00:00,2019-09-17 08:10:00,"Europe/Madrid","Other"
"291",2019-09-17 08:00:00,2019-09-17 08:10:00,"Europe/Madrid","Other"
"292",2019-09-17 09:15:00,2019-09-17 09:22:00,"Europe/Madrid","Running"
